ID,Payload,Message,Response
"10","b'\\x0b'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:12.997|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x0b|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=16|49=BANZAI|52=20241208-12:19:13.004|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\x0b|59=1|60=20241208-12:19:10|10=192|'"
"11","b'\\x0c'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:13.159|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x0c|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=17|49=BANZAI|52=20241208-12:19:13.165|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\x0c|59=1|60=20241208-12:19:10|10=202|'"
"12","b'\\r'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:13.320|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\r|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=18|49=BANZAI|52=20241208-12:19:13.331|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\r|59=1|60=20241208-12:19:10|10=199|'"
"13","b'\\x0e'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:13.488|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x0e|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=19|49=BANZAI|52=20241208-12:19:13.497|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x0e|59=1|60=20241208-12:19:10|10=214|'"
"14","b'\\x0f'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:13.652|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x0f|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=20|49=BANZAI|52=20241208-12:19:13.661|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x0f|59=1|60=20241208-12:19:10|10=200|'"
"15","b'\\x10'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:13.816|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x10|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=21|49=BANZAI|52=20241208-12:19:13.827|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x10|59=1|60=20241208-12:19:10|10=206|'"
"16","b'\\x11'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:13.983|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x11|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=22|49=BANZAI|52=20241208-12:19:13.993|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x11|59=1|60=20241208-12:19:10|10=212|'"
"17","b'\\x12'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:14.149|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x12|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=23|49=BANZAI|52=20241208-12:19:14.161|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x12|59=1|60=20241208-12:19:10|10=202|'"
"18","b'\\x13'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:14.318|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x13|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=24|49=BANZAI|52=20241208-12:19:14.329|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x13|59=1|60=20241208-12:19:10|10=210|'"
"19","b'\\x14'","b'8=FIX.4.2|9=147|35=D|34=1|49=BANZAI|52=20241208-12:19:14.486|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|54=1|55=\\x14|44=-64|59=1|60=20241208-12:19:10|10=038|'","b'8=FIX.4.2|9=149|35=D|34=25|49=BANZAI|52=20241208-12:19:14.496|56=FIXIMULATORTRADE|11=1-1733660350.454578|21=1|38=500|40=1|44=-64|54=1|55=\\\\0x14|59=1|60=20241208-12:19:10|10=217|'"
